#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2025-06-25-13-50-34
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1750830904.193362	CErdhZ2OWROmpuBEE2	10.141.143.123	60852	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830906.198592	CQi7bJ3iu2dX3dZSm5	10.141.143.123	60861	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830906.203748	CQi7bJ3iu2dX3dZSm5	10.141.143.123	60861	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830908.226939	C1hzNk2GYKwscYPRQj	10.141.143.123	60865	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830908.229372	C1hzNk2GYKwscYPRQj	10.141.143.123	60865	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830910.285503	CIB6oT2GgtCFwZZtO6	10.141.143.123	60876	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830910.289329	CIB6oT2GgtCFwZZtO6	10.141.143.123	60876	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830912.261527	CYBUut32NhZpc9Z80a	10.141.143.123	60878	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830912.265393	CYBUut32NhZpc9Z80a	10.141.143.123	60878	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830915.952037	CdMz0e3RjAdnH1eNL5	10.141.143.123	60880	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830915.964570	CdMz0e3RjAdnH1eNL5	10.141.143.123	60880	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
1750830917.925501	CytgOYWMBZhFKUbh3	10.141.143.123	60881	10.141.143.123	5000	data_before_established	-	F	zeek	TCP
1750830917.928429	CytgOYWMBZhFKUbh3	10.141.143.123	60881	10.141.143.123	5000	inappropriate_FIN	-	F	zeek	TCP
