#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2025-06-21-13-50-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1750487053.933037	COpZNd2z8pVG67XlW	192.168.226.11	47862	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750487073.199047	CXhHPp2NoZ6vB00Svh	192.168.226.11	45020	184.26.127.49	80	active_connection_reuse	-	F	zeek	TCP
1750487098.581378	C2tNXk2VKmBYlDbFQl	192.168.226.11	46238	184.26.127.49	80	active_connection_reuse	-	F	zeek	TCP
1750487122.886688	CZ1dbk3B9IS6O0pVDf	192.168.226.11	46496	23.60.96.174	80	active_connection_reuse	-	F	zeek	TCP
1750487138.247862	CaTfiA41pxZjW4D0wk	192.168.226.11	44644	184.26.127.9	80	active_connection_reuse	-	F	zeek	TCP
1750487155.120927	CsnlTX2QYQPBRfzML8	192.168.226.11	44832	184.26.127.49	80	active_connection_reuse	-	F	zeek	TCP
1750487170.309845	ChBZ1Y1HJn2Ym5dwt4	192.168.226.11	44988	184.26.127.49	80	active_connection_reuse	-	F	zeek	TCP
1750487188.066703	CvoYJC2EPuP0AP4QF9	192.168.226.11	48200	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750487206.696923	C1kBFyeT8peMnIMQ4	192.168.226.11	44900	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487213.312118	CZcE4e27YfvVpSwGW8	192.168.226.11	45324	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487237.361207	C7Ri3ky65HdEXcq2i	192.168.226.11	45092	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487243.149298	CGQSvn4ZcAc7NBfOei	192.168.226.11	46048	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750487257.736898	C6VuqPbL3q02ghVlh	192.168.226.11	46818	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750487263.522179	CB3dnX1YTK1C5bPKca	192.168.226.11	45070	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487292.916189	CRDLOu4KPHjhozDHnf	192.168.226.11	45130	23.217.11.81	80	active_connection_reuse	-	F	zeek	TCP
1750487313.227178	Ct5PQy31MUsM1WVnq7	192.168.226.11	48234	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750487333.124561	CNInJX2K3CKE9AZjM7	192.168.226.11	45800	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
1750487354.946204	CgvTw02y4BQiVFLga7	192.168.226.11	45972	184.26.127.9	80	active_connection_reuse	-	F	zeek	TCP
1750487373.033193	CIKeFh3ei0ujexujn3	192.168.226.11	45218	184.26.127.49	80	active_connection_reuse	-	F	zeek	TCP
1750487406.325125	Cd3Tkx4jSdQRtrUmcg	192.168.226.11	46830	184.26.127.9	80	active_connection_reuse	-	F	zeek	TCP
1750487421.689332	CNfSCgaNV68lk3hh8	192.168.226.11	47334	184.26.127.9	80	active_connection_reuse	-	F	zeek	TCP
1750487427.835103	Cm3Okd18Fn3V8tlb74	192.168.226.11	47340	184.26.127.9	80	active_connection_reuse	-	F	zeek	TCP
1750487442.091875	CTQbxzz102oevJWI7	192.168.226.11	48588	184.26.127.49	80	active_connection_reuse	-	F	zeek	TCP
1750487447.762200	CLM2jft2JLO5LQ4rj	192.168.226.11	48604	184.26.127.49	80	active_connection_reuse	-	F	zeek	TCP
1750487462.753471	C96TWl3QgoIdsOI2W1	192.168.226.11	48128	184.26.127.49	80	active_connection_reuse	-	F	zeek	TCP
1750487468.343067	Cwhtv61SqA0YvYu60e	192.168.226.11	46682	184.26.127.9	80	active_connection_reuse	-	F	zeek	TCP
1750487492.863979	CiKBT31QZMfbCjaXk	192.168.226.11	45322	23.217.11.75	80	active_connection_reuse	-	F	zeek	TCP
