 ,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label
87.0,2025-06-23T01:42:44+0800,Cr76A03h7IOoli9stc,192.168.84.22,57903,192.168.84.22,9080,tcp,,0.000325,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
88.0,2025-06-23T01:42:44+0800,CSbkPSZ2twNYvO8u4,192.168.84.22,57929,192.168.84.22,7627,tcp,,0.000301,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
89.0,2025-06-23T01:42:44+0800,Cdi6yi3zWKQdYctlj6,192.168.84.22,58147,192.168.84.22,8192,tcp,,0.000214,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
90.0,2025-06-23T01:42:44+0800,CpCtVaeFbX6ZrAen7,192.168.84.22,60735,192.168.84.22,1296,tcp,,0.000313,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
91.0,2025-06-23T01:42:44+0800,CvMaq7IWklMGhRrZ6,192.168.84.22,60933,192.168.84.22,3371,tcp,,0.000645,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
92.0,2025-06-23T01:42:44+0800,CWS1A44jRFmeCR5YXa,192.168.84.22,57961,192.168.84.22,15742,tcp,,0.000349,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
93.0,2025-06-23T01:42:44+0800,CW0mIS3Q1lrsGa1Wo6,192.168.84.22,57397,192.168.84.22,10566,tcp,,0.000395,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
94.0,2025-06-23T01:42:44+0800,Cs15Pu46InnAIDtWck,192.168.84.22,59357,192.168.84.22,8651,tcp,,0.00035,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
95.0,2025-06-23T01:42:44+0800,CSxqSt2WOro8YeIAs9,192.168.84.22,60713,192.168.84.22,11110,tcp,,0.000233,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
96.0,2025-06-23T01:42:44+0800,CfmzJh1FsxGeVyt9wi,192.168.84.22,60575,192.168.84.22,555,tcp,,0.000324,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
97.0,2025-06-23T01:42:44+0800,Cy2uOA4Z4RxKllaKY2,192.168.84.22,59463,192.168.84.22,2048,tcp,,0.000298,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
98.0,2025-06-23T01:42:44+0800,CfReRySc8gxSoUGdf,192.168.84.22,58967,192.168.84.22,1035,tcp,,0.000233,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
99.0,2025-06-23T01:42:44+0800,Csczjy15sQ5hVUZ9zf,192.168.84.22,57239,192.168.84.22,1042,tcp,,0.000224,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
100.0,2025-06-23T01:42:44+0800,CKJEVU2RRwSMnKRZAf,192.168.84.22,59911,192.168.84.22,6565,tcp,,0.000308,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
101.0,2025-06-23T01:42:44+0800,C8gKvg4Ob1AHXCzXbe,192.168.84.22,58271,192.168.84.22,9100,tcp,,0.00025,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
102.0,2025-06-23T01:42:44+0800,CBSOoi19GgkzWYUeFf,192.168.84.22,60537,192.168.84.22,1658,tcp,,0.000364,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
103.0,2025-06-23T01:42:44+0800,CZo2nO3H8Zxl6rrBE8,192.168.84.22,57619,192.168.84.22,9900,tcp,,0.000115,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
104.0,2025-06-23T01:42:44+0800,CJ2bQI3puxFpfjQUna,192.168.84.22,57605,192.168.84.22,4004,tcp,,0.000186,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
105.0,2025-06-23T01:42:44+0800,CWfv221xMLBSsCWTV7,192.168.84.22,60247,192.168.84.22,26,tcp,,0.000378,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
106.0,2025-06-23T01:42:44+0800,C0Akb21civOiU5cnA6,192.168.84.22,59337,192.168.84.22,8010,tcp,,0.000355,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
107.0,2025-06-23T01:42:44+0800,C3K7WZ1NXTT2cM4j9i,192.168.84.22,57575,192.168.84.22,6667,tcp,,0.000427,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
108.0,2025-06-23T01:42:44+0800,CIRJea3embvTLhfBre,192.168.84.22,58901,192.168.84.22,1067,tcp,,0.000451,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
109.0,2025-06-23T01:42:44+0800,Cp1Wl82kCaGljooFv4,192.168.84.22,59215,192.168.84.22,1198,tcp,,0.000636,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
110.0,2025-06-23T01:42:44+0800,CCZyBq3VYUPH3IWb2f,192.168.84.22,60281,192.168.84.22,1149,tcp,,0.000411,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
111.0,2025-06-23T01:42:44+0800,CuoWUt3m1oXFla44tk,192.168.84.22,57971,192.168.84.22,83,tcp,,0.000495,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
112.0,2025-06-23T01:42:44+0800,CG6ADWFXOWMLFhz4f,192.168.84.22,60075,192.168.84.22,20828,tcp,,0.000297,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
113.0,2025-06-23T01:42:44+0800,CIcTgC3hRFHbdAV1Fl,192.168.84.22,60167,192.168.84.22,34571,tcp,,0.000415,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
114.0,2025-06-23T01:42:44+0800,CQiFCW2rT0Fn1Q3UAl,192.168.84.22,60889,192.168.84.22,58080,tcp,,0.000297,0.0,0.0,REJ,T,T,0,Sr,1,60,2,80,,Malicious
115.0,2025-06-23T01:42:44+0800,C9dYAl2K51syiR1t41,192.168.84.22,58827,192.168.84.22,3301,tcp,,0.000446,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
116.0,2025-06-23T01:42:44+0800,CgHOry4S11OFFaqEw8,192.168.84.22,59637,192.168.84.22,898,tcp,,0.000575,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
117.0,2025-06-23T01:42:44+0800,C7MIQVpg6LKCCVC4k,192.168.84.22,59049,192.168.84.22,5222,tcp,,0.000389,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
118.0,2025-06-23T01:42:44+0800,CWR66i2axiRoSrxKRj,192.168.84.22,57861,192.168.84.22,1556,tcp,,0.000475,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
119.0,2025-06-23T01:42:44+0800,CCnYtp4ONYMo04Ki48,192.168.84.22,58185,192.168.84.22,3351,tcp,,0.00035,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
120.0,2025-06-23T01:42:44+0800,ChFjAs2HfKQQG02PV5,192.168.84.22,58725,192.168.84.22,7777,tcp,,0.000367,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
121.0,2025-06-23T01:42:44+0800,CM3EpW1mPDbYzKaoE5,192.168.84.22,57091,192.168.84.22,100,tcp,,0.00046,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
122.0,2025-06-23T01:42:44+0800,CZxoGe13vLeFKxc9F,192.168.84.22,57857,192.168.84.22,1036,tcp,,0.000389,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
123.0,2025-06-23T01:42:44+0800,CETWnF4Gg6LyKOb8Wk,192.168.84.22,60941,192.168.84.22,5102,tcp,,0.000419,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
124.0,2025-06-23T01:42:44+0800,CdJtZ32nkm1Gp9KKo2,192.168.84.22,59781,192.168.84.22,1236,tcp,,0.000319,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
125.0,2025-06-23T01:42:44+0800,C9ij2vapGYjti7fc,192.168.84.22,57863,192.168.84.22,1070,tcp,,0.000493,0.0,0.0,RSTRH,T,T,0,Cr,0,0,1,40,,Malicious
